Date,XLP,XLI,XLK,XLF,XLE,XLV,XLB,XLY,XLU
2023-12-29,68.19818878173828,110.79554748535156,94.99271392822266,36.51036834716797,39.26291275024414,131.92764282226562,41.18705749511719,87.90726470947266,29.83807373046875
2024-01-02,68.96510314941406,109.67778015136719,92.50537872314453,36.66572952270508,39.68438720703125,134.24929809570312,41.114830017089844,87.09117126464844,30.271535873413086
2024-01-03,68.4254150390625,108.04486083984375,91.56277465820312,36.35499954223633,40.330657958984375,134.0268096923828,40.67185974121094,85.3311538696289,30.384607315063477
2024-01-04,68.33074951171875,108.18093872070312,90.8915786743164,36.50065994262695,39.623512268066406,134.69427490234375,40.541847229003906,84.73136901855469,30.290380477905273
2024-01-05,68.17926788330078,108.30729675292969,90.86689758300781,36.656028747558594,39.65629577636719,134.5781707763672,40.60926055908203,84.86410522460938,30.403451919555664
2024-01-08,68.68106079101562,109.016845703125,93.14696502685547,36.88906478881836,39.19735336303711,135.7680206298828,40.782596588134766,86.30949401855469,30.624897003173828
2024-01-09,68.8609619140625,108.67664337158203,93.29500579833984,36.656028747558594,38.56982421875,135.74868774414062,40.3155517578125,85.98992919921875,30.375186920166016
2024-01-10,68.71894073486328,109.23065948486328,94.0895767211914,36.71428298950195,38.19049072265625,136.3677978515625,40.26258850097656,86.6781997680664,30.370473861694336
2024-01-11,68.70945739746094,108.97795867919922,94.56829071044922,36.578330993652344,38.288841247558594,136.2710418701172,40.142208099365234,86.56514739990234,29.663745880126953
2024-01-12,68.92723846435547,108.96823120117188,94.87427520751953,36.51036834716797,38.71968078613281,135.93251037597656,40.18072509765625,85.52289581298828,29.833358764648438
2024-01-16,68.54850769042969,107.86991882324219,95.11117553710938,36.25790786743164,37.797115325927734,135.1199188232422,39.71849822998047,85.42456817626953,29.50826644897461
2024-01-17,68.50115966796875,107.14091491699219,94.64232635498047,36.1899299621582,37.48334884643555,134.8490447998047,39.42959976196289,84.67729949951172,29.079519271850586
2024-01-18,68.41596984863281,108.58915710449219,96.56211853027344,36.24819564819336,37.4224739074707,134.8297119140625,39.55478286743164,85.1590805053711,28.768556594848633
2024-01-19,68.21712493896484,109.29871368408203,98.78789520263672,36.83080291748047,37.544219970703125,134.9071044921875,39.59330749511719,85.98009490966797,28.730865478515625
2024-01-22,67.8857421875,110.14432525634766,99.2221908569336,37.00558853149414,37.68471908569336,135.49717712402344,39.70886993408203,85.6015396118164,28.584808349609375
2024-01-23,68.62425994873047,110.05685424804688,99.62194061279297,37.063846588134766,37.76433563232422,135.4004364013672,39.838871002197266,85.39506530761719,28.636632919311523
2024-01-24,67.78158569335938,109.37647247314453,100.30793762207031,37.209503173828125,38.302886962890625,134.1622314453125,39.299598693847656,85.07059478759766,28.24557876586914
2024-01-25,68.43488311767578,110.42619323730469,100.72743225097656,37.39399719238281,39.164573669433594,133.9590606689453,39.71368408203125,84.01850891113281,28.75442123413086
2024-01-26,68.76628112792969,110.2512435913086,99.56764221191406,37.52994155883789,39.45492172241211,134.7233123779297,39.728126525878906,84.4019775390625,28.8392276763916
2024-01-29,69.16393280029297,110.97050476074219,100.48068237304688,37.62704086303711,39.39872360229492,135.67129516601562,39.925537109375,85.63594818115234,29.022977828979492
2024-01-30,69.5521240234375,111.00938415527344,99.65154266357422,38.102848052978516,39.80615997314453,135.9808807373047,40.10850524902344,85.58678436279297,29.01355743408203
2024-01-31,69.04083251953125,109.72637939453125,97.55902099609375,37.636749267578125,39.061546325683594,135.7970733642578,39.58367156982422,84.02835083007812,28.95230484008789
2024-02-01,70.45157623291016,111.59258270263672,98.78789520263672,37.69501495361328,39.05685806274414,137.55763244628906,40.24332046508789,85.64580535888672,29.50355339050293
2024-02-02,70.2243423461914,112.34099578857422,99.80947875976562,37.85037612915039,39.113059997558594,137.35450744628906,40.00739288330078,87.17475128173828,28.971153259277344
2024-02-05,69.788818359375,111.72864532470703,100.03649139404297,37.62704086303711,39.01470947265625,137.7801055908203,38.99143981933594,85.94568634033203,28.36807632446289
2024-02-06,69.94978332519531,112.72978973388672,99.57752990722656,37.7047233581543,39.14115905761719,139.27952575683594,39.67997741699219,86.46680450439453,28.471731185913086
2024-02-07,69.88349914550781,113.47821807861328,100.89521789550781,37.98632049560547,39.22077560424805,139.6567840576172,39.99776077270508,87.435302734375,28.490577697753906
2024-02-08,69.86456298828125,113.49764251708984,101.21107482910156,37.840667724609375,39.623512268066406,139.41493225097656,39.94479751586914,87.81877136230469,28.287982940673828
2024-02-09,69.2207260131836,113.67259216308594,102.57318878173828,37.947486877441406,39.01470947265625,139.3085479736328,40.031463623046875,88.443115234375,28.396343231201172
2024-02-12,69.71307373046875,113.83784484863281,101.79342651367188,38.12226104736328,39.445560455322266,139.4923553466797,40.34925842285156,88.36939239501953,28.726154327392578
2024-02-13,68.96510314941406,112.67146301269531,100.06610870361328,37.60762023925781,39.04749298095703,138.1960906982422,39.78109359741211,86.609375,28.250289916992188
2024-02-14,68.83255004882812,114.55709838867188,101.11236572265625,37.966896057128906,39.010032653808594,139.39559936523438,40.03628158569336,87.5237808227539,28.40576934814453
2024-02-15,69.27754974365234,115.41243743896484,100.90015411376953,38.61748123168945,40.09650802612305,140.4113311767578,40.7922248840332,88.53654479980469,28.881633758544922
2024-02-16,69.38169860839844,114.72233581542969,99.97234344482422,38.481544494628906,40.073089599609375,140.865966796875,41.00890350341797,88.01050567626953,28.848651885986328
2024-02-20,70.11073303222656,114.36271667480469,98.95568084716797,38.374732971191406,39.70781326293945,140.39198303222656,40.92223358154297,87.1796646118164,28.829805374145508
2024-02-21,70.3663558959961,114.81952667236328,98.33385467529297,38.491249084472656,40.45241928100586,140.70152282714844,41.14853286743164,87.82369232177734,29.211437225341797
2024-02-22,70.5841293334961,116.23860931396484,101.5516128540039,38.93791961669922,40.52267074584961,142.355712890625,41.562618255615234,89.52962493896484,28.985286712646484
2024-02-23,70.80189514160156,116.85095977783203,101.3147201538086,39.13212585449219,40.255733489990234,143.03285217285156,41.80818557739258,89.12648010253906,29.192590713500977
2024-02-26,70.51786041259766,116.67601013183594,101.41341400146484,38.93791961669922,40.39622497558594,142.29766845703125,41.557804107666016,89.40180206298828,28.617788314819336
2024-02-27,70.52732849121094,116.85095977783203,101.50225067138672,39.04472351074219,40.22294616699219,141.9494171142578,41.711883544921875,89.69676971435547,29.15961265563965
2024-02-28,70.60308074951172,117.24947357177734,101.0235366821289,39.19038772583008,40.143333435058594,141.2432403564453,41.841888427734375,90.05074310302734,29.249130249023438
2024-02-29,70.48945617675781,117.6091079711914,102.14875030517578,39.17095947265625,40.34002685546875,140.09210205078125,42.159671783447266,90.66035461425781,29.25855255126953
2024-03-01,70.49890899658203,118.11453247070312,104.01426696777344,39.122413635253906,40.80833053588867,141.56246948242188,42.352272033691406,90.96025848388672,29.079519271850586
2024-03-04,70.55572509765625,118.54220581054688,104.01426696777344,39.219520568847656,40.37281036376953,141.34967041015625,42.660430908203125,89.73118591308594,29.569515228271484
2024-03-05,70.72614288330078,117.57023620605469,101.45783996582031,39.22922897338867,40.67252731323242,140.2952423095703,42.434120178222656,88.61520385742188,29.48470687866211
2024-03-06,71.32264709472656,118.18256378173828,102.26229095458984,39.43313980102539,40.79896926879883,141.2529296875,42.74710464477539,88.3005599975586,29.76740264892578
