Date,XLU,XLE,XLY,XLV,XLK,XLI,XLRE,XLB,XLF,XLC,XLP
2018-09-11,21.419342041015625,26.27988052368164,54.42205810546875,81.13321685791016,34.62128448486328,68.60406494140625,26.04777717590332,25.38079261779785,24.554027557373047,44.89081573486328,44.39984893798828
2018-09-12,21.399587631225586,26.415815353393555,54.524444580078125,81.53784942626953,34.47710037231445,68.81524658203125,26.071012496948242,25.393661499023438,24.328685760498047,44.76058578491211,44.9144287109375
2018-09-13,21.56153106689453,26.426557540893555,54.617523193359375,82.54948425292969,34.8817253112793,69.22877502441406,26.233661651611328,25.4923152923584,24.29401206970215,45.076847076416016,44.84907531738281
2018-09-14,21.44698143005371,26.56607437133789,54.41274642944336,82.27680969238281,34.853824615478516,69.57194519042969,26.009052276611328,25.483739852905273,24.467355728149414,44.993141174316406,44.7265510559082
2018-09-17,21.518081665039062,26.609010696411133,53.737945556640625,81.97771453857422,34.41664505004883,69.59835052490234,26.15620994567871,25.57381820678711,24.363351821899414,44.55595397949219,44.88991928100586
2018-09-18,21.478588104248047,26.784297943115234,54.42205810546875,82.45272827148438,34.63523483276367,70.23184967041016,26.00130844116211,25.59956169128418,24.484691619873047,44.87220764160156,44.702049255371094
2018-09-19,21.012514114379883,26.866579055786133,54.44532775878906,82.33838653564453,34.5468635559082,70.17024993896484,25.75345230102539,25.878376007080078,24.900714874267578,44.993141174316406,44.6203727722168
2018-09-20,21.05596160888672,26.873746871948242,54.81763458251953,83.13887023925781,34.95615005493164,70.27584075927734,25.94708824157715,26.157190322875977,25.117395401000977,45.48614501953125,45.18395233154297
2018-09-21,21.145633697509766,27.051315307617188,54.575374603271484,83.25103759765625,34.81800842285156,70.73027038574219,25.947084426879883,26.10072898864746,25.019893646240234,45.282806396484375,45.25633239746094
2018-09-24,20.95832061767578,27.447542190551758,54.22063446044922,83.4188461303711,34.99068832397461,69.51901245117188,25.438318252563477,25.73438835144043,24.741310119628906,45.282806396484375,44.56540298461914
2018-09-25,20.671388626098633,27.62403678894043,54.44934844970703,83.16272735595703,34.948673248291016,69.30685424804688,25.414836883544922,25.60078239440918,24.64554786682129,45.30146408081055,44.30218505859375
2018-09-26,20.468135833740234,27.357486724853516,54.575374603271484,83.34819030761719,34.81800842285156,69.26262664794922,25.133058547973633,25.346498489379883,24.349557876586914,45.47868728637695,44.35152816772461
2018-09-27,20.679357528686523,27.357486724853516,54.76209259033203,83.77206420898438,35.023353576660156,69.3598861694336,25.211332321166992,25.126686096191406,24.262496948242188,45.87040710449219,44.29396438598633
2018-09-28,20.98223876953125,27.281845092773438,54.71540451049805,84.02818298339844,35.15400695800781,69.31568145751953,25.524417877197266,24.96722984313965,24.01003646850586,45.70253372192383,44.35976791381836
2018-10-01,20.910507202148438,27.660064697265625,54.547386169433594,84.4432601928711,35.32200622558594,69.92571258544922,25.328739166259766,25.217195510864258,24.10580062866211,45.515987396240234,44.32686233520508
2018-10-02,21.193450927734375,27.688880920410156,53.80986404418945,84.34612274169922,35.32667922973633,70.08489990234375,25.25046157836914,25.3249454498291,24.10580062866211,45.47868728637695,44.58184814453125
2018-10-03,20.938398361206055,27.912199020385742,53.6278190612793,84.18712615966797,35.43401336669922,70.37664794921875,24.960857391357422,25.14392852783203,24.332151412963867,45.68386459350586,44.10477828979492
2018-10-04,21.049983978271484,27.79694175720215,52.78762435913086,83.36585235595703,34.794681549072266,70.1467514038086,24.84345245361328,25.027563095092773,24.497554779052734,45.03097915649414,43.99784851074219
2018-10-05,21.37278938293457,27.793336868286133,52.39087677001953,83.26871490478516,34.35601043701172,69.78427124023438,24.851280212402344,24.842243194580078,24.37567710876465,44.60193634033203,43.956722259521484
2018-10-08,21.5521297454834,27.771724700927734,52.526241302490234,83.23339080810547,33.96868896484375,69.96109771728516,25.172195434570312,24.82931137084961,24.541086196899414,44.45270538330078,44.56540298461914
2018-10-09,21.639795303344727,28.020263671875,52.372196197509766,83.37468719482422,34.09001541137695,68.88247680664062,25.2582950592041,24.00611686706543,24.44532012939453,44.42472457885742,44.466697692871094
2018-10-10,21.52024269104004,27.141361236572266,50.6077766418457,81.40535736083984,32.43801498413086,66.66328430175781,24.859106063842773,23.376873016357422,23.687931060791016,42.67123031616211,43.93204879760742
2018-10-11,21.125709533691406,26.222848892211914,49.716251373291016,79.2063980102539,32.027339935302734,64.90388488769531,24.131174087524414,23.105350494384766,22.982776641845703,42.30748748779297,42.846275329589844
2018-10-12,21.10179328918457,26.29488182067871,50.63579559326172,80.42508697509766,33.05401611328125,65.33711242675781,24.11552619934082,23.16999626159668,23.008901596069336,43.24951171875,43.0848274230957
2018-10-15,21.201425552368164,26.075164794921875,50.51910400390625,79.86872100830078,32.51267623901367,65.46089172363281,24.264240264892578,23.092424392700195,22.904430389404297,43.08161926269531,43.34803771972656
2018-10-16,21.420608520507812,26.291288375854492,51.53200149536133,82.05885314941406,33.492671966552734,66.56605529785156,24.718219757080078,23.463071823120117,23.287473678588867,44.21953201293945,43.83333969116211
2018-10-17,21.380762100219727,26.125587463378906,51.10723114013672,82.49158477783203,33.33868408203125,66.07975769042969,24.64777374267578,23.312223434448242,23.52252769470215,44.396732330322266,44.038978576660156
2018-10-18,21.412639617919922,25.99591827392578,50.12700653076172,81.55547332763672,32.685333251953125,64.9392318725586,24.655601501464844,23.049320220947266,23.130773544311523,43.58528518676758,43.981407165527344
2018-10-19,21.747400283813477,25.765384674072266,49.63689422607422,80.81366729736328,32.67134094238281,64.70052337646484,24.906068801879883,22.885540008544922,23.217832565307617,43.57596206665039,44.98489761352539
2018-10-22,21.6079158782959,25.480823516845703,49.83761215209961,80.15130615234375,32.94200897216797,64.4795150756836,24.553848266601562,22.704530715942383,22.72161102294922,43.5479850769043,44.64765548706055
2018-10-23,21.488359451293945,24.814455032348633,49.846946716308594,79.71857452392578,32.816017150878906,63.418540954589844,24.71039390563965,22.48041343688965,22.53879737854004,43.4547004699707,44.84505844116211
2018-10-24,22.010427474975586,23.83469581604004,48.357933044433594,77.0869140625,31.346019744873047,61.2701301574707,24.999996185302734,21.769283294677734,21.972929000854492,41.38410949707031,45.03425216674805
2018-10-25,21.66770362854004,24.126462936401367,49.818939208984375,78.08483123779297,32.424015045166016,61.70335006713867,25.297428131103516,22.04942512512207,22.31244659423828,42.75518035888672,45.14118194580078
2018-10-26,21.269174575805664,23.94636344909668,48.269248962402344,77.20172882080078,31.775341033935547,61.09329605102539,24.639944076538086,21.920129776000977,21.990341186523438,41.5986213684082,44.27751159667969
2018-10-29,21.568065643310547,23.49970054626465,47.84447479248047,77.39598083496094,31.23868179321289,60.076541900634766,25.04695701599121,21.868412017822266,22.18186378479004,40.9550666809082,44.78749084472656
2018-10-30,21.651750564575195,24.043609619140625,48.56331253051758,78.22614288330078,31.588680267333984,61.31432342529297,25.461793899536133,22.368358612060547,22.564910888671875,42.07430648803711,45.67582702636719
2018-10-31,21.396697998046875,24.191301345825195,49.18879318237305,78.33212280273438,32.34000778198242,61.782894134521484,25.117403030395508,22.674362182617188,22.878311157226562,42.94171905517578,45.24810791015625
2018-11-01,21.30105209350586,24.396610260009766,50.192352294921875,79.3211898803711,32.718013763427734,62.870399475097656,25.211332321166992,23.312223434448242,22.982776641845703,43.19355392456055,45.568904876708984
2018-11-02,21.18149185180664,24.335372924804688,50.39773941040039,78.82669067382812,32.07868194580078,62.764286041259766,24.999996185302734,23.256196975708008,22.965364456176758,42.75518035888672,45.33035659790039
2018-11-05,21.480396270751953,24.742414474487305,50.467750549316406,79.52430725097656,32.046016693115234,63.0914192199707,25.414836883544922,23.32515525817871,23.33099937438965,42.577964782714844,45.897918701171875
2018-11-06,21.623857498168945,24.8576717376709,50.69180679321289,79.93055725097656,32.24667739868164,63.7545051574707,25.555727005004883,23.708738327026367,23.452878952026367,42.829795837402344,46.177581787109375
2018-11-07,21.87094497680664,25.264707565307617,52.06412124633789,82.27962493896484,33.19401550292969,64.78894805908203,25.837495803833008,24.13542366027832,23.757577896118164,43.61326599121094,46.440799713134766
2018-11-08,21.8350772857666,24.717195510864258,52.078128814697266,82.32376861572266,33.16600036621094,64.68285369873047,25.892292022705078,24.03197479248047,23.82722282409668,43.2028694152832,46.4654655456543
2018-11-09,21.866954803466797,24.67397117614746,51.3546257019043,82.0853500366211,32.59200668334961,64.0285873413086,25.923601150512695,23.6958065032959,23.609586715698242,42.31679916381836,46.73691177368164
2018-11-12,21.854999542236328,24.162479400634766,50.32305908203125,80.97261810302734,31.444007873535156,62.764286041259766,25.97838592529297,23.346708297729492,23.139480590820312,41.68256759643555,46.490150451660156
2018-11-13,21.946659088134766,23.607769012451172,50.29971694946289,80.40741729736328,31.48134422302246,63.04720687866211,26.033178329467773,23.277751922607422,23.270065307617188,41.55199432373047,46.38321304321289
2018-11-14,21.71950340270996,23.56814193725586,49.9216194152832,79.76275634765625,31.103343963623047,62.835025787353516,26.025354385375977,23.251888275146484,22.956663131713867,41.75718688964844,46.07065200805664
2018-11-15,21.5401668548584,23.913942337036133,49.846946716308594,80.46922302246094,31.882675170898438,63.666107177734375,25.821847915649414,23.57081413269043,23.296180725097656,42.064964294433594,45.99661636352539
2018-11-16,21.87094497680664,24.198501586914062,49.65089797973633,81.28172302246094,31.831350326538086,63.64841079711914,26.189720153808594,23.80786895751953,23.322298049926758,41.85978317260742,46.111778259277344
2018-11-19,21.96658706665039,24.191301345825195,48.43727493286133,80.24845886230469,30.618013381958008,62.64052200317383,26.260169982910156,23.46738052368164,23.31359100341797,40.59129333496094,46.037750244140625
2018-11-20,21.874927520751953,23.398845672607422,47.340354919433594,79.49781799316406,29.960010528564453,61.340843200683594,25.915767669677734,23.040699005126953,22.79996681213379,40.05965805053711,45.272789001464844
2018-11-21,21.5521297454834,23.76625633239746,47.83515930175781,79.04742431640625,30.179346084594727,61.77405548095703,25.900123596191406,23.22602653503418,22.81736946105957,40.535335540771484,44.910865783691406
